date,target
2025-02-01,100674.78762544956
2025-02-02,97568.31653024876
2025-02-03,101466.8606657039
2025-02-04,98118.43921664466
2025-02-05,96582.88682919052
2025-02-06,96635.41875332213
2025-02-07,96558.4563096667
2025-02-08,96558.23762501092
2025-02-09,96548.57865379583
2025-02-10,97399.98161383196
2025-02-11,95739.9773707924
2025-02-12,97836.18856127484
2025-02-13,96561.6639990985
2025-02-14,97488.48148536457
2025-02-15,97569.95169430463
2025-02-16,96149.3484548204
2025-02-17,95776.15723852724
2025-02-18,95495.89153299289
2025-02-19,96554.87156259285
2025-02-20,98384.31738240314
2025-02-21,96135.15541305284
2025-02-22,96564.15414290236
2025-02-23,96327.46309127836
2025-02-24,91396.76686930266
2025-02-25,88755.7693356979
2025-02-26,83900.11496524839
2025-02-27,84709.14477847965
