date,price,high,low,lag_1,lag_2,lag_3,lag_5,lag_7,ma_7,ma_30,momentum_30,momentum_7,volume,volatility_7,volatility_30,daily_return,pct_change_1d,pct_change_7d,hl_pct
2025-01-30,1.403022308698981,1.403022308698981,1.403022308698981,1.2582346397556987,1.3018820821742068,1.3414544622670557,1.4881093650671047,1.42025734223954,1.4023692868868578,1.2213273554235755,0.804712239218084,-0.08839398118883537,0.025169611552860054,-1.0752490319176786,-0.7403377967957,0.7940269558450072,0.7940269558450072,-0.12533223153683634,0.0
2025-01-31,1.4695090603580339,1.4695090603580339,1.4695090603580339,1.4087597866176051,1.261543748724778,1.3043826472893947,1.4856728770886216,1.4447159200815793,1.4087961473106967,1.2450971588063657,0.8215861114133086,0.03972740563128311,-0.15064793150439737,-1.0312667937589435,-0.7392076646727039,0.3106882210383185,0.3106882210383185,-0.02978459420991092,0.0
2025-02-01,1.3193871444440277,1.3193871444440277,1.3193871444440277,1.4752381578848184,1.41192357182031,1.2640906480126943,1.3460374539813147,1.4923565673689223,1.386715024234031,1.2619609064414,0.5178376923533333,-0.5672239217842558,-0.3142616590180573,-0.8350368391530618,-0.6532196366203805,-0.875627181217853,-0.875627181217853,-0.47997316039902177,0.0
2025-02-02,1.212535791483815,1.212535791483815,1.212535791483815,1.325135164244012,1.4783377618693254,1.41429773901688,1.3090854507238738,1.4899265812737192,1.3496137701499062,1.270020708026939,0.13061453753127975,-0.8870111299104512,-0.7903748154410432,-0.775402283946812,-0.6805261579613676,-0.6530571608715023,-0.6530571608715023,-0.7169908328699262,0.0
2025-02-03,1.0181522230557003,1.0181522230557003,1.0181522230557003,1.2182972794738378,1.3283796844291322,1.4806356431539553,1.2689236704220834,1.3506637818899216,1.3047463163587523,1.2689326985872609,-0.27173279910467224,-1.0523579781388779,0.4349318106411498,-0.6191147331164294,-0.570748526599662,-1.160568901813236,-1.160568901813236,-0.8549565916885696,0.0
2025-02-04,1.2620987776832384,1.2620987776832384,1.2620987776832384,1.0239382123249992,1.2216449457719498,1.3308498133717077,1.4186453098784206,1.3138103867989368,1.3003206465470525,1.2757010419451307,0.07381244828320495,-0.19132919057310496,2.5031576691950543,0.017429766938360847,-0.38187871038899823,1.3742925757125906,1.3742925757125906,-0.2035955798991961,0.0
2025-02-05,1.0525754665296536,1.0525754665296536,1.0525754665296536,1.2678540184550602,1.0274735216333055,1.2242376743708359,1.484768817757443,1.2737557801052883,1.2715608528117455,1.2751820493776853,-0.2467057819951524,-0.709416652517487,0.8796274158172063,0.2720702389529384,-0.2468811210143645,-1.2373036874022305,-1.2373036874022305,-0.601027941632612,0.0
2025-02-06,0.9564901840872131,0.9564901840872131,0.9564901840872131,1.0583571168853871,1.2711538404420513,1.0302892830532224,1.3354670780566118,1.4230778802932749,1.207318746392216,1.2632767373276774,-0.7475092316143972,-1.4648554503224618,0.07236824109863378,0.03283114567019913,-0.4098471094419242,-0.6162326739433266,-0.6162326739433266,-1.1555598131081504,0.0
2025-02-07,0.9597773039592993,0.9597773039592993,0.9597773039592993,0.9622839456124168,1.0618591966307303,1.2736897012062731,1.229199496876222,1.4890249344675772,1.1339841755179405,1.2626090369045473,-0.2532463860264978,-1.65843923607805,-0.07307721193547438,-0.05790320439401958,-0.7352706615699253,-0.03655171908009055,-0.03655171908009055,-1.2885991982603238,0.0
2025-02-08,0.9549614746873636,0.9549614746873636,0.9549614746873636,0.9655706511560561,0.9658787787307878,1.0646354613320557,1.035877923814248,1.3401216135127616,1.0815546382727288,1.2658597042876083,-0.08090517276421541,-1.2133590742138405,0.34519628840756583,-0.08720255321342041,-0.7900702011114593,-0.08453038058679306,-0.08453038058679306,-0.9782320671487397,0.0
2025-02-09,0.9549477907667839,0.9549477907667839,0.9549477907667839,0.9607554289003354,0.969162311140645,0.9687652902589203,1.2784917006113585,1.2341376123932664,1.044495723936283,1.274677112024609,0.1639362596808579,-0.8861096923865892,-0.8589045827957755,-0.1020553571744109,-0.903518084496743,-0.05610256333563759,-0.05610256333563759,-0.7402490672074246,0.0
2025-02-10,0.9543433926460243,0.9543433926460243,0.9543433926460243,0.9607417467045597,0.9643517377176855,0.9720450510762296,1.0701130993082146,1.0413319270823083,1.0353156147173825,1.2784975004955303,-0.0558471822030198,-0.2925539337846643,-0.7031982456500019,-0.3399498156554841,-0.9848686100513004,-0.05960228605140761,-0.05960228605140761,-0.28736221731988826,0.0
2025-02-11,1.0076188748476005,1.0076188748476005,1.0076188748476005,0.9601374247657904,0.9643380687313188,0.9672400032642917,0.97455276928605,1.2832982775539705,0.998703859149263,1.284486371243833,0.03952897570429553,-0.8765894256165621,-0.318665753327671,-1.0660007363669135,-0.9775429743349868,0.2596439484587263,0.2596439484587263,-0.7282161182377029,0.0
2025-02-12,0.9037461721959178,0.9037461721959178,0.9037461721959178,1.0134061918037418,0.9637343302322078,0.9672263499786523,0.9778219303044102,1.07547574439306,0.9772919453407221,1.2871961495585154,-0.10469504724657461,-0.552976072454635,-0.3385726026274194,-1.4853483648991674,-0.9332231970654297,-0.6661033211318395,-0.6661033211318395,-0.4925312162106702,0.0
2025-02-13,1.0349139825175473,1.0349139825175473,1.0349139825175473,0.9095465818950178,1.0169516691997174,0.9666233049569736,0.9730324118385385,0.9801704216262196,0.9885746946142845,1.2943223313178582,0.08955122200534515,0.14311206568871146,0.014898614849520304,-1.276079092784213,-0.873780961118097,0.7277319859402185,0.7277319859402185,0.0612217031412039,0.0
2025-02-14,0.9551621918674223,0.9551621918674223,0.9551621918674223,1.0406978590334224,0.9131923300430955,1.0197795164270136,0.973018802678703,0.983430858733954,0.9879107232988884,1.2942961578230614,-0.22503016574349918,-0.11124047101742705,-0.5829347996120969,-1.157376759053134,-0.9114052678539655,-0.5223440782343827,-0.5223440782343827,-0.14321031392382785,0.0
2025-02-15,1.013156644331603,1.013156644331603,1.013156644331603,0.9609561207807882,1.0442169878228351,0.9161393592675525,0.9724177066271911,0.9786541213243847,0.99628320105654,1.288340514011442,-0.4858255170094546,0.08115071511856224,-0.4766539624360776,-1.1137186130819532,-1.112047496092124,0.2875580086212528,0.2875580086212528,0.011455947171454579,0.0
2025-02-16,1.0182545414145083,1.0182545414145083,1.0182545414145083,1.0189432632738233,0.9645522358411445,1.0470135170487531,1.0254021235104152,0.9786405484812353,1.0053910765889469,1.2831229149182093,-0.4533641635838166,0.09680775573529929,-1.0759246409010819,-1.1147401757811581,-1.112279780998531,-0.02610688603109988,-0.02610688603109988,0.024043974863499285,0.0
2025-02-17,0.929362059061108,0.929362059061108,0.929362059061108,1.0240405177869831,1.0224833949312464,0.9674402710878377,0.922096919077726,0.9780410564829349,1.0017970384398245,1.2662314895036109,-0.966813000229324,-0.17362327526301743,-1.0951718990914283,-0.99366785667508,-1.361253665071113,-0.5772095756774929,-0.5772095756774929,-0.19337909875685957,0.0
