date,price,volume,daily_return,ma_7,ma_30,volatility_7,volatility_30,momentum_7,momentum_30,high,low,hl_pct,pct_change_1d,pct_change_7d,lag_1,lag_2,lag_3,lag_5,lag_7,target
2025-01-29,101313.11264498268,45780526813.56264,-0.6329605528613502,103313.74417794714,99156.82425412674,1.1918237941288736,2.241643979897218,-4869.124175198813,7649.665125342013,101313.11264498268,101313.11264498268,0.0,-0.6329605528613502,-4.585629688179038,101958.46953745594,102552.24874280207,104796.04077738234,104067.60991206947,106182.2368201815,103718.97939813645
2025-01-30,103718.97939813645,47425401641.53094,2.3746844710855086,103320.23622119836,99526.54749636019,1.3933026270801265,2.257113863488615,45.44430275858031,11091.697267003678,103718.97939813645,103718.97939813645,0.0,2.3746844710855086,0.04383404377672484,101313.11264498268,101958.46953745594,102552.24874280207,104835.19253555956,103673.53509537787,104781.5135100103
2025-01-31,104781.5135100103,42122570869.034325,1.0244355642907044,103422.22244947564,99902.33598844669,1.441911827225122,2.2577719297183676,713.9035979408363,11273.654762595397,104781.5135100103,104781.5135100103,0.0,1.0244355642907044,0.685999801997994,103718.97939813645,101313.11264498268,101958.46953745594,104796.04077738234,104067.60991206947,102382.39409722165
2025-02-01,102382.39409722165,37187819228.35328,-2.289639968370427,103071.8226725702,100168.94325450786,1.6587853092761087,2.3078420199961194,-2452.798438337908,7998.217981834547,102382.39409722165,102382.39409722165,0.0,-2.289639968370427,-2.339670848132347,104781.5135100103,103718.97939813645,101313.11264498268,102552.24874280207,104835.19253555956,100674.78762544956
2025-02-02,100674.78762544956,22827776122.48367,-1.6678712065968604,102483.07222229408,100296.36461494448,1.7246934610876752,2.2919416671251054,-4121.253151932775,3822.640813098813,100674.78762544956,100674.78762544956,0.0,-1.6678712065968604,-3.932642036245937,102382.39409722165,104781.5135100103,103718.97939813645,101958.46953745594,104796.04077738234,97568.31653024875
2025-02-03,97568.31653024875,59784234332.21204,-3.08564951411483,101771.08190621504,100279.16373952587,1.8974225707584256,2.3558642391070297,-4983.932212553322,-516.026262558793,97568.31653024875,97568.31653024875,0.0,-3.08564951411483,-4.859895588494478,100674.78762544956,102382.39409722165,104781.5135100103,101313.11264498268,102552.24874280207,101466.8606657039
2025-02-04,101466.8606657039,122163969235.23686,3.99570708411936,101700.85206739332,100386.16780276601,2.600931994100815,2.465841511090242,-491.6088717520324,3210.1218972045754,101466.8606657039,101466.8606657039,0.0,3.99570708411936,-0.48216580141136056,97568.31653024875,100674.78762544956,102382.39409722165,103718.97939813645,101958.46953745594,98118.43921664466
2025-02-05,98118.43921664466,73196693057.98114,-3.3000148295620035,101244.47014905933,100377.96279445423,2.882360820539799,2.5444494480364623,-3194.673428338021,-246.15024935371184,98118.43921664466,98118.43921664466,0.0,-3.3000148295620035,-3.153267474401533,101466.8606657039,97568.31653024875,100674.78762544956,104781.5135100103,101313.11264498268,96582.88682919052
2025-02-06,96582.88682919052,48848958931.79228,-1.5649987909649221,100225.02835349563,100189.74587103067,2.617953608566702,2.4495557525117095,-7136.092568945925,-5646.507702706906,96582.88682919052,96582.88682919052,0.0,-1.5649987909649221,-6.880218654633374,98118.43921664466,101466.8606657039,97568.31653024875,102382.39409722165,103718.97939813645,96635.41875332211
2025-02-07,96635.41875332211,44462180396.172516,0.054390509391688546,99061.30053111161,100179.18986721641,2.51767394188899,2.2600644128145024,-8146.094756688195,-316.68011442745046,96635.41875332211,96635.41875332211,0.0,0.054390509391688546,-7.77436256053885,96582.88682919052,98118.43921664466,101466.8606657039,100674.78762544956,104781.5135100103,96558.4563096667
2025-02-08,96558.4563096667,57077722340.22422,-0.07964206566111187,98229.30941860375,100230.58126387557,2.485292281234519,2.22815511155277,-5823.937787554954,1541.7418997749337,96558.4563096667,96558.4563096667,0.0,-0.07964206566111187,-5.688417270282409,96635.41875332211,96582.88682919052,98118.43921664466,97568.31653024875,102382.39409722165,96558.23762501091
2025-02-09,96558.23762501091,20760850644.84597,-0.00022647903057393393,97641.2308471125,100369.97999192725,2.4688769519861875,2.1620953833372956,-4116.550000438656,4181.961841549899,96558.23762501091,96558.23762501091,0.0,-0.00022647903057393393,-4.088958216384686,96558.4563096667,96635.41875332211,96582.88682919052,101466.8606657039,100674.78762544956,96548.57865379585
2025-02-10,96548.57865379585,25457107581.051964,-0.010003259641677698,97495.55400761924,100430.37838898387,2.2059558313293217,2.1147256709375566,-1019.7378764528985,1811.951911698954,96548.57865379585,96548.57865379585,0.0,-0.010003259641677698,-1.0451526814411638,96558.23762501091,96558.4563096667,96635.41875332211,98118.43921664466,97568.31653024875,97399.98161383197
2025-02-11,97399.98161383197,37054987393.57789,0.8818389373592916,96914.57128592324,100525.05938703686,1.4035238497428917,2.118991325703293,-4066.8790518719325,2840.429941589842,97399.98161383197,97399.98161383197,0.0,0.8818389373592916,-4.008086014675083,96548.57865379585,96558.23762501091,96558.4563096667,96582.88682919052,101466.8606657039,95739.97737079239
2025-02-12,95739.97737079239,36454577154.5622,-1.7043167930165692,96574.79102223006,100567.89960285035,0.9400605595827676,2.1447983513932685,-2378.4618458522746,1285.2064744043164,95739.97737079239,95739.97737079239,0.0,-1.7043167930165692,-2.4240722384511804,97399.98161383197,96548.57865379585,96558.23762501091,96635.41875332211,98118.43921664466,97836.18856127483
2025-02-13,97836.18856127483,47115618235.19051,2.189483691189942,96753.83412681354,100680.56090906954,1.1713451043965253,2.1794110549010566,1253.3017320843064,3379.8391865755257,97836.18856127483,97836.18856127483,0.0,2.189483691189942,1.2976436853671558,95739.97737079239,97399.98161383197,96548.57865379585,96558.4563096667,96582.88682919052,96561.6639990985
